F:\mycode\pykan\kannet\Lib\site-packages\torch\nn\modules\loss.py:535: UserWarning: Using a target size (torch.Size([32, 1, 2])) that is different to the input size (torch.Size([32, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Epoch 28, MLP Train Loss: 0.058792687124676175, Validation Loss: 0.05433752853423357
Epoch 29, MLP Train Loss: 0.0587556945780913, Validation Loss: 0.054548692889511585
Epoch 30, MLP Train Loss: 0.057042782919274435, Validation Loss: 0.05463817808777094
Epoch 31, MLP Train Loss: 0.060931330339776144, Validation Loss: 0.05463105533272028
Epoch 32, MLP Train Loss: 0.05974969971511099, Validation Loss: 0.05468608532100916
Epoch 33, MLP Train Loss: 0.05810364170206918, Validation Loss: 0.05469553917646408
Epoch 34, MLP Train Loss: 0.061044101499848895, Validation Loss: 0.054572722874581814
Epoch 35, MLP Train Loss: 0.05871512326929304, Validation Loss: 0.05490216612815857
Epoch 36, MLP Train Loss: 0.057937962727414236, Validation Loss: 0.05501188710331917
Epoch 37, MLP Train Loss: 0.057839435835679374, Validation Loss: 0.054763239808380604
Epoch 38, MLP Train Loss: 0.060834543572531805, Validation Loss: 0.05470371339470148
Epoch 39, MLP Train Loss: 0.058264238552914724, Validation Loss: 0.054848698899149895
Epoch 40, MLP Train Loss: 0.0601614365975062, Validation Loss: 0.054817887023091316
Epoch 41, MLP Train Loss: 0.059026469786961876, Validation Loss: 0.054743862710893154
Epoch 42, MLP Train Loss: 0.06007483725746473, Validation Loss: 0.05468246899545193
Epoch 43, MLP Train Loss: 0.05910116475489405, Validation Loss: 0.054733967408537865
Epoch 44, MLP Train Loss: 0.05858916665116946, Validation Loss: 0.05481315404176712
Epoch 45, MLP Train Loss: 0.05885609860221545, Validation Loss: 0.05473549943417311
Epoch 46, MLP Train Loss: 0.05931627626220385, Validation Loss: 0.05474990978837013
Epoch 47, MLP Train Loss: 0.05854280251595709, Validation Loss: 0.05463647376745939
Epoch 48, MLP Train Loss: 0.05962303653359413, Validation Loss: 0.05453654006123543
Epoch 49, MLP Train Loss: 0.058908580905861326, Validation Loss: 0.05454447865486145
