F:\mycode\pykan\kannet\Lib\site-packages\torch\nn\modules\loss.py:535: UserWarning: Using a target size (torch.Size([32, 1, 2])) that is different to the input size (torch.Size([32, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Epoch 28, MLP Train Loss: 0.061136380251910954, Validation Loss: 0.05465962365269661
Epoch 29, MLP Train Loss: 0.05673025444977813, Validation Loss: 0.05453586112707853
Epoch 30, MLP Train Loss: 0.0588268389304479, Validation Loss: 0.05444757919758558
Epoch 31, MLP Train Loss: 0.05705776313940684, Validation Loss: 0.05439932644367218
Epoch 32, MLP Train Loss: 0.06044685219724973, Validation Loss: 0.05436442233622074
Epoch 33, MLP Train Loss: 0.058583047654893666, Validation Loss: 0.05439978279173374
Epoch 34, MLP Train Loss: 0.060289888746208616, Validation Loss: 0.054503667168319225
Epoch 35, MLP Train Loss: 0.05909820314910677, Validation Loss: 0.05441975686699152
Epoch 36, MLP Train Loss: 0.05996287986636162, Validation Loss: 0.054444304667413235
Epoch 37, MLP Train Loss: 0.057984287954039045, Validation Loss: 0.05458083562552929
Epoch 38, MLP Train Loss: 0.058426382640997566, Validation Loss: 0.05448211636394262
Epoch 39, MLP Train Loss: 0.060347326513793736, Validation Loss: 0.054481321945786476
Epoch 40, MLP Train Loss: 0.05795666699608167, Validation Loss: 0.05451489519327879
Epoch 41, MLP Train Loss: 0.05679074550668398, Validation Loss: 0.054469240829348564
Epoch 42, MLP Train Loss: 0.059491592562860914, Validation Loss: 0.05446167569607496
Epoch 43, MLP Train Loss: 0.05829693294233746, Validation Loss: 0.054428315721452236
Epoch 44, MLP Train Loss: 0.05771866109636095, Validation Loss: 0.05446017347276211
Epoch 45, MLP Train Loss: 0.05763187797533141, Validation Loss: 0.05440116487443447
Epoch 46, MLP Train Loss: 0.05810424188772837, Validation Loss: 0.054362223483622074
Epoch 47, MLP Train Loss: 0.061663186798493065, Validation Loss: 0.05432289466261864
Epoch 48, MLP Train Loss: 0.05988725647330284, Validation Loss: 0.05431221704930067
Epoch 49, MLP Train Loss: 0.058863854242695704, Validation Loss: 0.05436697695404291
